gene_name,SH_INSM1,SH_INSM2,SH_LacZ1,SH_LacZ2
TSPAN6,2.819025166200841,2.712663078737328,2.5348870577171647,2.9439037306833673
DPM1,4.4022365809652,4.483464637326415,4.634874598987098,4.887046537811564
SCYL3,2.6702562562973915,2.6295677311800367,2.358474852432204,2.7655926819197347
FIRRM,2.2754004152872445,2.5366932724691353,2.7189860527708287,3.3361443459624427
FUCA2,3.3910197313072,3.2118085906947513,3.8622289024807808,4.150785164793469
GCLC,3.7381168991907288,3.8693195337058626,3.490031637864143,3.9013300591043527
NFYA,3.7119049705543277,3.698647218797965,3.6083206236886305,3.9621613461133642
STPG1,2.2303690684397752,2.201470992982258,2.473683741217847,2.6223481483915037
NIPAL3,2.1688981454143357,2.1417286631305448,2.1524498737366553,2.310108620153607
LAS1L,3.6831537937601952,3.467138106752107,3.789366890584662,3.6258157915043085
SEMA3F,2.9029731919298034,2.820641173890043,1.9871444928336408,1.7621771967110857
ANKIB1,4.319294321360424,4.416754445320252,4.063450277287053,4.7087351466013425
CYP51A1,3.6957962279862624,3.6902600756173127,3.7793476577211687,3.7672334366935614
KRIT1,3.928114775610717,3.959187200807435,3.789874467316809,4.2820205777265805
RAD52,2.9677508186458037,2.6267551818359607,2.0297199063257856,2.5691109169176585
BAD,4.287632984727718,4.202924833897929,4.297531933651536,3.3417816101416933
LAP3,3.446236360193742,3.3431860983500576,3.6951000659269924,3.3956406717054826
CD99,1.2097322866199787,3.714346595947372,3.8044484405712744,0.9897920915042693
MAD1L1,4.19142001634582,4.14949122699934,3.290146670467537,3.01909292630884
LASP1,3.983415329258851,3.963757820331167,3.6197752192834605,3.0572225441178253
SNX11,3.5071160615173596,3.3425169748842207,3.6649849660624234,3.5104657517009725
M6PR,4.8312342045831915,4.818138351206102,4.775283482640706,4.753524102715678
KLHL13,3.4590406646293985,3.529765075491399,3.4628888851382964,4.32917519279424
CYP26B1,0.3018038885692647,0.45797849121800344,2.229280367382196,2.381925153869128
ICA1,5.08499510929676,5.140875491675163,4.428627904962071,4.576566626856538
DBNDD1,4.2727277627509705,4.275671416129797,3.992128744961287,3.4643815798682995
ALS2,3.1564078200648544,3.457707259322045,3.061932101456976,3.586188400048732
CFLAR,2.511545010458655,2.813288509293008,1.901838982879651,3.049055860502052
NDUFAF7,3.085946308222844,3.488992087880431,3.390882465355787,3.432425049472247
RBM5,5.156449643071317,5.329318710350291,4.670176076016806,4.884609757165216
MTMR7,2.7823728882982453,2.69274331281,1.9816735188524635,2.839456345318663
SLC7A2,0.8554960205933274,0.7376065517974854,1.892900645981648,2.5758573408148724
ARF5,5.6713826534393625,5.593511652782391,5.948177851038068,5.484521796058761
SARM1,3.4367988931426,3.249079700558521,3.3207765302790753,3.173490810589795
POLDIP2,4.187421264823617,4.054314389544837,4.412286332007763,3.823557407935885
PLXND1,2.100058420716407,2.1511935532365873,2.7253418353551186,3.363021674300075
AK2,4.719045230942048,4.796753594113311,5.203262866554843,5.128700192247896
FKBP4,4.110611272322039,4.10644656995674,4.6848804907295865,4.507241717455462
KDM1A,4.6733219558482215,4.65594466581464,4.717827127868848,5.020651437965218
RBM6,4.352857149263704,4.439018985420563,4.2425604804241015,4.034024349276917
CAMKK1,2.432292219927277,2.2359369348029148,2.101581875585933,1.7257605043837687
RECQL,3.0521387408641067,3.1679279865932894,3.6081730137185626,4.042631653492975
VPS50,3.523064953122109,3.638158101399718,3.3793127504993,3.8929124973621847
HSPB6,0.6660046318253472,1.2842951344399351,0.6803273566466392,0.4216350012174591
ARHGAP33,3.2648664167467016,3.0255680277320693,2.7461408528996882,3.4554222115641697
NDUFAB1,5.04478840657231,5.088742049021984,5.350303556078295,5.366294996852018
PDK4,0.6919494635832408,0.47591735862776297,1.2004191977386358,0.6581716040501608
ZMYND10,2.537679665514404,1.83093851484659,1.9397318166913258,2.311190757812689
SLC25A13,4.352269191204475,4.388690755015476,3.9652190304750667,4.300159666131193
ST7,2.9394672722668753,2.7867660596698993,3.19495437485552,3.433217101580396
CDC27,4.121535174163769,4.1012729553798986,4.226747902167707,4.583142876320134
HCCS,3.257939525695692,3.10546230396276,3.548900434429203,3.5732534279390493
DVL2,4.349954167822893,4.174225164449567,3.836432876961681,3.9181745856011396
UPF1,3.8800145366019345,3.803361157475783,4.0729578889873395,4.25626442648279
SKAP2,1.1979606675964394,1.6299467608856404,1.4448684113625196,3.0793800290728988
SLC25A5,5.119901787481343,5.224411190955096,5.598986159066838,5.508467447152348
MCUB,1.7393019886667507,1.5142534447276785,3.008984029887957,3.0306981786046068
POLR2J,4.86278574703584,4.82794995914305,5.200208350653533,4.287905580079849
DHX33,3.21396108730689,3.126920435456491,3.7764435512423105,3.8490137037715533
THSD7A,1.180770603020678,1.5932294623377612,1.444598645976593,2.52712287192108
LIG3,2.4854115223184134,2.3781124216702776,2.5966379289685366,3.0507413458801205
RPAP3,3.022683747628864,3.1488170283420938,3.34569436160743,3.894295619727804
ACSM3,0.4897878740200166,1.4787671101312203,0.22265943414840272,0.5985694324620199
REXO5,1.9544392441228489,2.2781656505893015,2.3104748865560243,2.097031551373439
CIAPIN1,4.462076130785915,4.360772635146389,4.197350447913296,4.087777429062791
SPPL2B,4.310309663336628,4.220171955101504,3.8235150181667588,3.62233770118002
ATOSB,3.3386119032056256,3.2344812641240903,2.404982372601297,2.045720835719548
COPZ2,2.5699166155674815,2.6738159044178755,2.2764673754237803,2.3300857593086377
PRKAR2B,3.4848148921075914,3.498473385543322,3.2598417834251365,4.091060157799365
MSL3,2.9289872665826406,3.094141917779299,3.297954880686089,3.821468296427442
CREBBP,3.6907566660485696,3.531466174457961,3.5885948398001752,3.8711864691354934
TSPOAP1,3.14237216071927,3.362758067137432,2.437129359988093,2.927799786089702
GCFC2,2.1247119473318343,2.760334317796512,2.699943631476198,3.811238382165265
WDR54,4.669676694113251,4.69826378371573,4.133909510991298,3.3626697322846817
CROT,3.0798937183420088,3.028036962589581,3.0999414216424888,3.201753226284678
ABCB4,1.0138482028089335,1.1749960026891786,1.317309436029938,1.6443526373430637
KMT2E,4.40588033449971,4.481654864630046,3.866574449860564,4.435791736626501
RHBDD2,5.229188716200696,5.167749344514782,4.858404778462105,4.647168585872133
SOX8,0.10259088376587758,0.0,2.0645314364551184,1.6974220494725556
IBTK,2.972967869524074,3.0197292295972997,2.632579249231443,3.3852886732140663
ZNF195,3.7069290506511403,3.851301403909332,3.700982392187432,4.088554398195768
MYCBP2,3.252653752902795,3.3293217876919123,3.074872420195678,4.146022584259144
FBXL3,3.000802249478166,3.3063863572590426,2.9898475927338,3.6748135667140627
ITGAL,0.3329295401044735,0.12391795626603094,1.4381180148420625,0.3791724661532404
PDK2,3.3199070265557014,3.109984327068186,3.153692317104802,2.76343167415462
ITGA3,3.019047987434738,2.861050276380718,2.1836699041940837,2.4791553929706533
ZFX,2.756437935101133,2.55162763137526,2.7643645588269967,3.316985137986496
LAMP2,3.1603557644081173,3.376341142352329,3.130017200949863,3.772714477245235
ITGA2B,2.1223884769135735,1.7827506783203408,1.375061255362686,0.2324845876742904
GDE1,4.793777446291188,4.762491046905559,4.383832016490941,4.175714112327691
REX1BD,3.731381053308215,3.790931379919762,3.8537182618620887,2.883893597631464
CRLF1,2.374070429042238,2.3486519332332056,3.4093757805343716,2.8880268997527505
OSBPL7,2.7982788249762787,2.7960467315576607,2.5124595580735996,1.7072647410015316
TMEM98,3.6783778043124022,3.6868021480068283,4.288177236158857,4.165281383014661
YBX2,3.3533534296927328,3.446557001570995,3.3044606481470993,2.4151505406807323
MAP3K14,1.654705689800368,1.6547546225690475,1.4387335736923363,0.95666846772614
ABCC8,1.6360952278775642,1.78957742363052,2.015587053205237,1.7273916001952518
TMEM132A,4.3780631278478035,4.288306865745447,4.271727820667552,3.7089844621590373
AP2B1,5.024822202325065,5.066333012751345,4.736949999242727,5.072672959449212
ZNF263,3.291148522506878,3.214462138870586,3.629439539629559,2.786444289010222
